Ticker,CRH,EXP,JHX,KNF,MCEM,MLM,TGLS,TTAM,USLM,VMC,CRH,EXP,JHX,KNF,MCEM,MLM,TGLS,TTAM,USLM,VMC,CRH,EXP,JHX,KNF,MCEM,MLM,TGLS,TTAM,USLM,VMC
Series,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Dividends,Dividends,Dividends,Dividends,Dividends,Dividends,Dividends,Dividends,Dividends,Dividends
Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-02,37.11528778076172,112.47555541992188,27.58153533935547,NaN,62.388545989990234,285.2240295410156,6.720941543579102,NaN,25.223812103271484,145.66221618652344,285500,315500,13900,NaN,1100,344000,27700,NaN,22500,476200,0.0,0.0,0.0,NaN,0.0,0.0,0.0,NaN,0.0,0.0
2021-02-03,37.4949951171875,112.82530975341797,28.069622039794922,NaN,61.578311920166016,285.4563903808594,6.7688117027282715,NaN,25.37069320678711,146.0648651123047,499000,190700,13500,NaN,500,472000,58400,NaN,22000,514500,0.0,0.0,0.0,NaN,0.0,0.0,0.0,NaN,0.0,0.0
2021-02-04,37.408695220947266,113.88420104980469,28.395009994506836,NaN,61.578311920166016,285.7565612792969,6.845403671264648,NaN,25.372652053833008,146.83187866210938,466100,371900,16100,NaN,0,401000,63700,NaN,23500,722600,0.0,0.0,0.0,NaN,0.0,0.0,0.0,NaN,0.0,0.0
2021-02-05,37.04625701904297,113.99105834960938,29.16063117980957,NaN,60.2009162902832,288.08941650390625,6.845403671264648,NaN,25.476444244384766,146.6305389404297,293200,183800,44200,NaN,300,345600,47400,NaN,20500,587600,0.0,0.0,0.0,NaN,0.0,0.0,0.0,NaN,0.0,0.0
2021-02-08,37.262001037597656,115.43851470947266,30.012388229370117,NaN,62.388545989990234,291.2936706542969,6.864551544189453,NaN,26.77092933654785,147.8193359375,304500,332600,26100,NaN,400,463200,35300,NaN,77500,490000,0.0,0.0,0.0,NaN,0.0,0.0,0.0,NaN,0.0,0.0
2021-02-09,37.80564498901367,114.22420501708984,30.62488555908203,NaN,62.388545989990234,296.1435852050781,6.845403671264648,NaN,27.20176887512207,149.22874450683594,478300,218800,47000,NaN,500,539600,28000,NaN,38500,609100,0.0,0.0,0.0,NaN,0.0,0.0,0.0,NaN,0.0,0.0
2021-02-10,37.6330680847168,114.45734405517578,30.37605857849121,NaN,63.11778259277344,305.9014587402344,6.845403671264648,NaN,27.054887771606445,152.67062377929688,315000,240100,14700,NaN,500,657100,31700,NaN,41000,723900,0.0,0.0,0.0,NaN,0.0,0.0,0.0,NaN,0.0,0.0
2021-02-11,38.34930419921875,115.41911315917969,30.443050384521484,NaN,63.52552032470703,308.3796081542969,6.845403671264648,NaN,26.465421676635742,153.45680236816406,662800,332000,31000,NaN,0,523100,59900,NaN,32000,608000,0.0,0.0,0.0,NaN,0.5,0.0,0.0,NaN,0.0,0.0
2021-02-12,38.94473648071289,119.36324310302734,30.70145034790039,NaN,62.79157257080078,320.2574462890625,6.969865322113037,NaN,27.0255184173584,157.713623046875,821700,245900,15700,NaN,100,578600,61600,NaN,23500,787600,0.0,0.0,0.0,NaN,0.0,0.0,0.0,NaN,0.0,0.0
2021-02-16,38.72900390625,117.77003479003906,30.682310104370117,NaN,61.976104736328125,315.2430725097656,7.017735958099365,NaN,27.029434204101562,155.74819946289062,453500,342200,28000,NaN,300,470200,72100,NaN,29500,957000,0.0,0.0,0.0,NaN,0.0,0.0,0.0,NaN,0.0,0.0
2021-02-17,38.16808319091797,118.72206115722656,30.548322677612305,NaN,61.976104736328125,314.9041748046875,7.084753036499023,NaN,27.14889144897461,155.2017364501953,349600,266200,36800,NaN,0,359000,60900,NaN,22500,623000,0.0,0.0,0.0,NaN,0.0,0.0,0.0,NaN,0.0,0.0
2021-02-18,37.47773361206055,117.85746002197266,30.098217010498047,NaN,61.976104736328125,314.7590637207031,7.190068244934082,NaN,26.76460838317871,153.99366760253906,529900,418900,22300,NaN,2800,283300,120600,NaN,27500,606400,0.0,0.0,0.7,NaN,0.0,0.0,0.0,NaN,0.032,0.0
2021-02-19,38.03864669799805,121.87928771972656,30.26456069946289,NaN,67.68441772460938,325.59149169921875,7.017735958099365,NaN,27.425344467163086,157.5985870361328,376300,489400,18000,NaN,3800,628200,58900,NaN,24500,1004500,0.0,0.0,0.0,NaN,0.0,0.0,0.0,NaN,0.0,0.0
2021-02-22,38.021385192871094,121.19927978515625,29.765533447265625,NaN,69.9269790649414,317.6147155761719,7.132623672485352,NaN,27.695911407470703,155.30712890625,470100,379900,48700,NaN,500,492600,70700,NaN,44000,521200,0.0,0.0,0.0,NaN,0.0,0.0,0.0,NaN,0.0,0.0
2021-02-23,38.237125396728516,121.60730743408203,30.342838287353516,NaN,73.18889617919922,325.0783386230469,6.960290908813477,NaN,28.19194793701172,159.14218139648438,475200,298400,23100,NaN,1400,538800,27900,NaN,55000,922000,0.0,0.0,0.0,NaN,0.0,0.0,0.0,NaN,0.0,0.0
2021-02-24,39.281288146972656,125.31827545166016,30.205852508544922,NaN,69.30722045898438,336.4625244140625,7.132623672485352,NaN,28.48996353149414,166.9655303955078,493000,447300,25100,NaN,2100,560300,63700,NaN,85000,1614000,0.0,0.0,0.0,NaN,0.0,0.0,0.0,NaN,0.0,0.0
2021-02-25,38.24575424194336,120.03351593017578,28.914249420166016,NaN,69.30722045898438,325.5623779296875,7.266659259796143,NaN,27.352798461914062,161.3376922607422,524100,533700,27800,NaN,0,394800,62600,NaN,39500,793300,0.0,0.0,0.0,NaN,0.0,0.0,0.0,NaN,0.0,0.0
2021-02-26,37.39143753051758,121.80159759521484,27.749853134155273,NaN,69.30722045898438,326.65814208984375,7.075179100036621,NaN,27.476316452026367,160.45372009277344,567600,497400,32900,NaN,0,471800,51500,NaN,32500,926400,0.0,0.0,0.0,NaN,0.0,0.57,0.0,NaN,0.0,0.37
2021-03-01,38.418338775634766,124.96855163574219,28.982744216918945,NaN,69.31539154052734,337.0240478515625,7.084753036499023,NaN,28.52329444885254,165.2291717529297,517000,514000,26400,NaN,100,725100,52900,NaN,25000,646600,0.0,0.0,0.0,NaN,0.0,0.0,0.0,NaN,0.0,0.0
2021-03-02,38.57366943359375,123.35591888427734,29.589406967163086,NaN,69.31539154052734,326.3866271972656,7.371972560882568,NaN,28.154693603515625,162.3273468017578,473900,363300,45200,NaN,0,591100,263000,NaN,100500,733500,0.0,0.0,0.0,NaN,0.0,0.0,0.0,NaN,0.0,0.0
2021-03-03,39.38483810424805,121.23816680908203,29.061023712158203,NaN,67.68441772460938,326.9781188964844,8.032578468322754,NaN,28.0488224029541,163.5956573486328,670300,513300,27600,NaN,1600,410500,245400,NaN,31000,1432200,0.0,0.0,0.0,NaN,0.0,0.0,0.0,NaN,0.0,0.0
